frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness,nvfp4ffn-w8a16_diverged,nvfp4ffn-w8a16_text_l2,nvfp4ffn-w8a16_text_maxabs,nvfp4ffn-w8a16_audio_l2,nvfp4ffn-w8a16_audio_maxabs,nvfp4ffn-w8a16_rms,nvfp4ffn-w8a16_click,nvfp4ffn-w8a16_centroid_hz,nvfp4ffn-w8a16_flatness
61,0,23.2824,0.6953,25.1651,1.1562,,,,,0,29.8736,0.6641,17.4293,0.7500,,,,,0,35.4347,0.8516,35.7726,2.0000,,,,
62,0,43.3630,0.7434,26.8325,1.6250,,,,,0,27.5991,0.6250,16.4278,0.7188,,,,,0,36.3920,0.7500,35.3535,1.5000,,,,
63,0,37.8939,0.8984,20.3194,1.2500,,,,,0,20.6302,0.5620,15.2481,0.8750,,,,,0,45.5033,0.9961,33.0983,2.7500,,,,
64,0,41.7572,0.9111,21.4040,0.9375,,,,,0,22.0746,0.5996,15.3340,0.7500,,,,,0,42.6172,1.0000,33.0165,1.9375,,,,
65,0,42.8980,0.9531,20.6863,1.0625,,,,,0,19.9882,0.5762,15.1133,0.6328,,,,,0,40.0325,1.1250,26.9241,2.0312,,,,
66,0,24.8096,0.7036,20.8655,0.9062,,,,,0,21.1293,0.6172,16.1351,0.8125,,,,,0,51.7893,1.1250,33.8649,1.7500,,,,
67,0,23.6967,0.6987,20.9561,1.0938,,,,,0,19.3573,0.5847,15.9460,0.6875,,,,,0,43.8535,0.8777,40.2532,2.0000,,,,
68,0,40.7030,0.9500,20.5242,0.9375,,,,,0,19.3292,0.6001,16.0492,0.6875,,,,,0,35.3010,0.7837,28.1016,1.8750,,,,
69,0,29.1633,0.7188,19.1687,0.8750,,,,,0,18.9283,0.5508,14.9866,0.6250,,,,,0,35.3438,0.8750,25.1286,1.5312,,,,
70,0,23.1883,0.6641,21.1899,1.1406,,,,,0,19.0130,0.5967,15.9723,0.6875,,,,,0,29.9207,0.6982,23.3276,1.5000,,,,
71,0,21.9960,0.7021,17.1223,0.9375,,,,,0,19.9906,0.6333,16.4009,0.7500,,,,,0,30.1708,0.7583,23.3466,1.1875,,,,
72,0,65.1646,1.1836,20.5542,1.2734,,,,,0,18.8385,0.5435,15.5925,0.6719,,,,,0,30.8903,0.7212,24.9258,1.5000,,,,
73,0,46.4476,0.9348,19.6196,1.3242,,,,,0,18.4451,0.5752,15.4694,0.7500,,,,,0,33.6179,0.7861,22.2841,1.5000,,,,
74,0,22.2460,0.6481,19.1573,0.8750,,,,,0,18.4639,0.5830,18.2594,0.8750,,,,,0,33.4724,0.7920,28.0706,1.5000,,,,
75,0,34.2602,0.8926,20.6530,1.0000,,,,,0,17.9779,0.5195,17.2261,0.9375,,,,,0,28.1426,0.6895,24.2001,1.2500,,,,
76,0,32.8095,0.8750,20.2536,0.8750,,,,,0,22.0682,0.6602,15.7231,0.6875,,,,,0,30.8410,0.8125,33.6776,1.8750,,,,
77,0,21.8399,0.7344,26.7114,1.8750,,,,,0,18.5307,0.5625,14.1655,0.8750,,,,,0,32.3776,1.1250,29.7639,1.5000,,,,
78,0,23.0870,0.6250,23.6322,1.1250,,,,,0,18.8797,0.5625,14.6378,0.7500,,,,,0,32.0578,1.3750,32.3947,1.6875,,,,
79,0,25.3369,0.8594,22.9671,1.4375,,,,,0,20.8390,0.6875,15.1309,0.8750,,,,,0,31.8514,1.1250,43.3500,1.9062,,,,
80,0,29.5397,0.9258,27.4749,1.2891,,,,,0,21.5049,0.6328,16.1757,0.7500,,,,,0,28.6980,0.8906,35.5802,1.4062,,,,
81,0,23.6519,0.7070,19.8883,0.7500,,,,,0,19.4764,0.5938,17.1683,0.7500,,,,,0,29.4326,1.0000,36.6226,1.5000,,,,
82,0,30.4629,0.8340,21.5094,1.6250,,,,,0,20.1810,0.6484,16.5036,0.6875,,,,,0,28.4969,0.8516,30.2046,1.3750,,,,
83,0,21.6204,0.8008,23.4982,1.8750,,,,,0,18.7253,0.5781,15.2318,0.6250,,,,,0,30.2172,0.8672,28.6973,1.3750,,,,
84,0,23.5191,0.7109,23.2867,1.2500,,,,,0,19.1908,0.6094,17.3962,0.8125,,,,,0,29.5804,0.8906,28.3082,1.1094,,,,
85,0,34.5456,0.8296,23.9179,0.9561,,,,,0,19.7260,0.6094,15.7530,0.6875,,,,,0,29.4563,0.9297,32.5989,1.2500,,,,
86,0,51.6842,1.0376,23.2412,1.0938,,,,,0,18.4599,0.5400,18.2602,0.9375,,,,,0,28.5634,0.9531,29.4651,1.1406,,,,
87,0,26.4188,0.7422,23.7661,0.8750,,,,,0,18.9126,0.5513,18.7033,1.2500,,,,,0,29.2611,0.8594,31.9527,1.7500,,,,
88,0,24.8859,0.7207,25.1532,1.3125,,,,,0,21.5065,0.6260,19.3066,1.1250,,,,,0,40.7971,0.8936,51.7284,3.6250,,,,
89,0,28.9029,0.8320,23.5233,1.2500,,,,,0,20.3515,0.6289,14.8038,0.6250,,,,,0,32.9410,0.7695,43.7309,2.3750,,,,
90,0,33.2759,0.8438,27.1184,1.4375,,,,,0,20.5481,0.5684,16.5369,0.6875,,,,,0,32.8990,0.7529,36.9817,1.6250,,,,
91,0,23.4812,0.6836,24.5444,1.1406,,,,,0,22.4204,0.5781,16.5138,0.6875,,,,,0,30.6036,0.8750,33.8005,2.0000,,,,
92,0,23.0658,0.6250,24.3664,1.3750,,,,,0,24.1451,0.6016,19.6959,0.7500,,,,,0,30.7964,0.7500,43.6259,1.8125,,,,
93,0,24.3811,0.6484,26.0959,1.5000,,,,,0,25.6374,0.6406,17.6056,0.6562,,,,,0,31.9210,0.7910,33.8562,1.1875,,,,
94,0,28.6527,0.7812,24.7544,1.3359,,,,,0,31.6548,0.7031,19.1217,0.7188,,,,,0,31.2642,0.7812,37.5794,1.6250,,,,
95,0,30.3011,0.7529,28.2036,1.1875,,,,,0,29.0451,0.6660,19.3368,0.7188,,,,,0,31.4051,0.6992,46.2458,1.7500,,,,
96,0,30.8598,0.7500,28.7950,1.1250,,,,,0,25.3095,0.6631,19.5653,0.7500,,,,,0,58.1931,0.9727,56.0690,2.0781,,,,
97,0,23.7597,0.7109,29.6419,1.3125,,,,,0,27.6904,0.6211,23.0900,0.9375,,,,,0,45.6711,0.9277,58.5259,2.1875,,,,
98,0,35.5213,0.8984,27.4341,1.5625,,,,,0,25.5556,0.5928,18.2563,1.0000,,,,,0,43.8677,0.8809,45.1234,1.7344,,,,
99,0,33.0564,0.7109,24.4251,1.0000,,,,,0,23.9963,0.5871,16.3225,0.8125,,,,,0,32.6709,0.8027,39.2721,1.6250,,,,
100,0,22.3837,0.6631,26.6053,1.5000,,,,,0,24.5362,0.5527,19.2269,0.9375,,,,,0,39.4636,0.9023,43.8789,1.9375,,,,
101,0,46.8149,1.1758,20.7021,1.0625,,,,,0,19.8919,0.5391,16.1138,0.8438,,,,,0,43.2659,0.9209,40.2029,2.9062,,,,
102,0,22.3957,0.6914,21.3532,0.8984,,,,,0,20.2978,0.5496,15.7958,1.1875,,,,,0,32.6467,0.7883,34.7170,2.8125,,,,
103,0,34.9836,0.9072,19.8464,0.8438,,,,,0,19.8168,0.6250,15.5047,0.9688,,,,,0,28.5241,0.7422,28.0053,2.4062,,,,
104,0,36.7396,0.8750,21.0487,1.0938,,,,,0,18.2026,0.5645,16.1594,1.1875,,,,,0,29.2580,0.7207,28.3361,2.0938,,,,
105,0,21.2988,0.5894,19.9619,1.1250,,,,,0,19.0061,0.6016,15.4512,1.0625,,,,,0,29.3862,0.7363,25.1664,2.1250,,,,
106,0,44.6544,0.8340,19.3808,1.2188,,,,,0,24.2871,0.6670,16.2762,1.1250,,,,,0,27.4168,0.6694,24.8326,1.6562,,,,
107,0,21.8902,0.6582,22.0976,1.1250,,,,,0,18.5349,0.5469,15.6346,1.0938,,,,,0,27.0242,0.6836,25.0219,1.8750,,,,
108,0,32.3524,0.7754,22.1885,1.1875,,,,,0,18.2395,0.5547,15.1492,1.0000,,,,,0,28.1425,0.7129,23.7804,1.8750,,,,
109,0,22.5303,0.6504,19.0263,0.7031,,,,,0,18.1726,0.5547,15.2853,0.8750,,,,,0,27.3004,0.6836,23.5656,1.4062,,,,
110,0,26.7117,0.7051,21.3788,0.7734,,,,,0,18.1575,0.5195,15.2895,0.8750,,,,,0,26.7813,0.6660,24.2371,1.5000,,,,
111,0,21.7542,0.6191,20.1560,0.8906,,,,,0,17.4341,0.5254,14.6643,0.8438,,,,,0,26.1435,0.6309,23.6931,1.3438,,,,
112,0,40.2344,0.9561,20.3354,1.1875,,,,,0,17.9682,0.5166,14.2840,0.7500,,,,,0,26.8678,0.6064,23.8074,1.1875,,,,
113,0,49.1444,0.9980,20.0688,0.9219,,,,,0,19.3086,0.6187,14.6595,0.9375,,,,,0,30.3260,0.7402,22.6592,1.4375,,,,
114,0,53.3376,1.0586,22.1623,1.3438,,,,,0,18.5359,0.5469,12.8489,0.6875,,,,,0,33.6815,0.8086,25.4465,1.6562,,,,
115,0,43.1625,0.9570,24.9423,1.9375,,,,,0,18.4638,0.5366,15.1636,0.8125,,,,,0,34.4047,1.1250,33.5979,1.4688,,,,
116,0,22.3407,0.7188,21.6116,0.9375,,,,,0,18.9387,0.5547,14.7166,0.6875,,,,,0,30.3427,1.3750,31.5818,1.2188,,,,
117,0,24.0440,0.8262,21.3420,0.9688,,,,,0,20.2001,0.6172,15.0053,0.8281,,,,,0,29.0868,0.8359,35.6783,1.5625,,,,
118,0,26.4988,0.7959,22.7010,1.3750,,,,,0,19.1555,0.5547,14.8848,0.7891,,,,,0,28.4620,0.8750,31.8710,1.3750,,,,
119,0,24.6179,0.8262,19.4861,0.8750,,,,,0,18.1832,0.5703,15.7895,0.9375,,,,,0,28.4289,0.7344,27.5977,1.2500,,,,
120,0,24.2654,0.7173,22.9916,1.1250,,,,,0,28.5472,0.7266,15.3920,0.8125,,,,,0,30.6064,0.9453,29.7036,1.1250,,,,
121,0,30.9296,0.9072,21.4188,1.1719,,,,,0,18.7142,0.5625,15.7648,0.7812,,,,,0,27.7413,0.8438,29.4520,1.2500,,,,
122,0,28.7854,0.8887,22.8374,1.0000,,,,,0,19.5768,0.5859,15.3465,0.7500,,,,,0,29.8181,0.8828,31.6216,1.4277,,,,
123,0,21.8816,0.7002,23.8488,1.3750,,,,,0,18.8105,0.5557,15.3428,0.7031,,,,,0,28.0681,0.8438,29.1711,1.1250,,,,
124,0,25.1333,0.7656,21.1094,1.0625,,,,,0,19.0926,0.5273,15.6297,0.7500,,,,,0,30.7036,0.9062,30.0820,1.1875,,,,
125,0,21.2894,0.6602,23.9125,1.3125,,,,,0,19.5729,0.5586,15.9556,0.9375,,,,,0,30.7303,0.8359,30.4336,1.4375,,,,
126,0,54.6751,1.0234,21.6911,1.0625,,,,,0,23.3240,0.6875,19.2522,1.6875,,,,,0,49.5522,1.2500,46.1215,2.2500,,,,
127,0,25.1014,0.7734,21.4207,1.6250,,,,,0,19.5292,0.5977,19.7167,1.0625,,,,,0,37.8294,0.8750,35.4483,2.3750,,,,
128,0,44.8888,1.0684,22.5967,1.3125,,,,,0,24.3955,0.5830,15.7877,0.8750,,,,,0,35.5286,1.0000,28.9597,1.7500,,,,
129,0,25.6550,0.6719,23.2590,0.9375,,,,,0,20.1751,0.5591,15.9525,0.8125,,,,,0,33.9789,0.8750,40.8545,1.4922,,,,
130,0,48.8690,0.9297,27.3312,1.0000,,,,,0,28.5039,0.6641,17.9062,0.8750,,,,,0,35.6353,0.8281,48.9516,2.2500,,,,
131,0,29.0739,0.8047,24.4684,1.2500,,,,,0,22.1816,0.5625,18.5540,0.8750,,,,,0,34.2470,0.8438,51.1118,3.0000,,,,
132,0,23.0572,0.6875,23.5079,0.9375,,,,,0,26.9481,0.6523,18.9569,0.7500,,,,,0,30.1385,0.7122,42.1956,2.5000,,,,
133,0,25.2546,0.6953,29.3076,1.2500,,,,,0,33.5430,0.6914,20.5251,1.0000,,,,,0,28.6143,0.6799,64.3196,2.5781,,,,
134,0,22.6072,0.6641,25.1485,0.9375,,,,,0,29.7344,0.6328,19.2214,0.8750,,,,,0,29.0589,0.6912,49.0874,2.5000,,,,
135,0,23.6481,0.7344,31.2568,2.0000,,,,,0,33.1697,0.6875,19.2233,0.7500,,,,,0,31.3354,0.7578,49.4706,2.2500,,,,
136,0,30.7781,0.8125,28.5890,1.2188,,,,,0,28.2743,0.5898,20.5982,0.7500,,,,,0,34.9511,0.8096,55.2942,2.5000,,,,
137,0,34.2160,0.7578,30.3863,1.3359,,,,,0,33.3882,0.6484,17.8627,0.8750,,,,,0,30.2194,0.7266,42.5304,2.0000,,,,
138,0,33.4570,0.8164,23.5158,1.3750,,,,,0,23.0760,0.6094,18.3890,0.9805,,,,,0,36.2852,0.8975,33.1641,1.7500,,,,
139,0,53.7252,0.9531,26.3863,1.1875,,,,,0,22.3267,0.6250,15.4608,0.7500,,,,,0,30.3327,0.8047,30.5666,2.1250,,,,
140,0,38.6273,0.8164,21.9546,0.7891,,,,,0,18.6966,0.5811,17.0189,0.6250,,,,,0,31.6005,0.7188,30.8612,2.7500,,,,
